AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
27/11/2018,2
28/11/2018,2
29/11/2018,3
30/11/2018,3
01/12/2018,2
02/12/2018,2
03/12/2018,3
04/12/2018,3
05/12/2018,3
06/12/2018,2
07/12/2018,3
08/12/2018,3
09/12/2018,3
10/12/2018,2
11/12/2018,3
12/12/2018,2
13/12/2018,2
14/12/2018,3
15/12/2018,2
16/12/2018,2
17/12/2018,3
18/12/2018,2
19/12/2018,3
20/12/2018,3
21/12/2018,2
22/12/2018,2
23/12/2018,2
24/12/2018,2
25/12/2018,3
26/12/2018,2
27/12/2018,5
28/12/2018,3
29/12/2018,2
30/12/2018,2
31/12/2018,2
01/01/2019,2
,
End of file ,
