AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
20/07/2017,3
21/07/2017,3
22/07/2017,2
23/07/2017,2
24/07/2017,2
25/07/2017,3
26/07/2017,3
27/07/2017,3
28/07/2017,2
29/07/2017,3
30/07/2017,2
31/07/2017,3
01/08/2017,3
02/08/2017,2
03/08/2017,2
04/08/2017,3
05/08/2017,2
06/08/2017,3
07/08/2017,2
08/08/2017,2
09/08/2017,2
10/08/2017,2
11/08/2017,3
12/08/2017,2
13/08/2017,3
14/08/2017,3
15/08/2017,3
16/08/2017,3
17/08/2017,3
18/08/2017,2
19/08/2017,2
20/08/2017,2
21/08/2017,2
22/08/2017,2
23/08/2017,3
24/08/2017,2
25/08/2017,3
26/08/2017,3
27/08/2017,3
28/08/2017,4
29/08/2017,3
30/08/2017,2
31/08/2017,2
01/09/2017,2
02/09/2017,3
03/09/2017,3
04/09/2017,2
05/09/2017,3
06/09/2017,2
07/09/2017,3
08/09/2017,3
09/09/2017,2
10/09/2017,2
11/09/2017,3
12/09/2017,3
13/09/2017,3
14/09/2017,2
15/09/2017,3
16/09/2017,2
17/09/2017,2
18/09/2017,2
19/09/2017,3
20/09/2017,3
21/09/2017,3
22/09/2017,3
23/09/2017,2
24/09/2017,3
25/09/2017,4
26/09/2017,4
27/09/2017,5
28/09/2017,3
29/09/2017,3
30/09/2017,2
01/10/2017,2
02/10/2017,4
03/10/2017,2
04/10/2017,3
05/10/2017,2
06/10/2017,2
07/10/2017,2
08/10/2017,2
09/10/2017,3
10/10/2017,2
11/10/2017,3
12/10/2017,3
13/10/2017,2
14/10/2017,2
15/10/2017,3
16/10/2017,3
17/10/2017,3
18/10/2017,3
19/10/2017,3
20/10/2017,3
21/10/2017,3
22/10/2017,3
23/10/2017,2
24/10/2017,2
25/10/2017,3
26/10/2017,2
27/10/2017,3
28/10/2017,2
29/10/2017,2
30/10/2017,3
31/10/2017,3
01/11/2017,3
02/11/2017,4
03/11/2017,5
04/11/2017,3
05/11/2017,2
06/11/2017,3
07/11/2017,3
08/11/2017,2
09/11/2017,2
10/11/2017,2
11/11/2017,2
12/11/2017,2
13/11/2017,2
14/11/2017,3
15/11/2017,3
16/11/2017,2
17/11/2017,3
18/11/2017,2
19/11/2017,2
20/11/2017,3
21/11/2017,3
22/11/2017,3
23/11/2017,4
24/11/2017,3
25/11/2017,2
26/11/2017,3
27/11/2017,2
28/11/2017,2
29/11/2017,3
30/11/2017,2
01/12/2017,2
02/12/2017,3
03/12/2017,2
04/12/2017,2
05/12/2017,3
06/12/2017,4
07/12/2017,2
08/12/2017,2
09/12/2017,3
10/12/2017,2
11/12/2017,3
12/12/2017,3
13/12/2017,3
14/12/2017,3
15/12/2017,2
16/12/2017,2
17/12/2017,2
18/12/2017,3
19/12/2017,3
20/12/2017,3
21/12/2017,3
22/12/2017,2
23/12/2017,2
24/12/2017,2
25/12/2017,3
26/12/2017,3
27/12/2017,3
28/12/2017,3
29/12/2017,3
30/12/2017,3
31/12/2017,3
01/01/2018,3
,
End of file ,
