AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
10/06/2019,2
11/06/2019,2
12/06/2019,2
13/06/2019,3
14/06/2019,3
15/06/2019,3
16/06/2019,2
17/06/2019,3
18/06/2019,3
19/06/2019,3
20/06/2019,2
21/06/2019,3
22/06/2019,3
23/06/2019,4
24/06/2019,3
25/06/2019,3
26/06/2019,3
27/06/2019,3
28/06/2019,3
29/06/2019,5
30/06/2019,5
01/07/2019,3
02/07/2019,3
03/07/2019,3
04/07/2019,3
05/07/2019,4
06/07/2019,3
07/07/2019,2
08/07/2019,3
09/07/2019,3
10/07/2019,3
11/07/2019,3
12/07/2019,3
13/07/2019,3
14/07/2019,2
15/07/2019,2
16/07/2019,3
17/07/2019,4
18/07/2019,3
19/07/2019,2
20/07/2019,2
21/07/2019,2
22/07/2019,2
23/07/2019,5
24/07/2019,5
25/07/2019,6
26/07/2019,3
27/07/2019,2
28/07/2019,2
29/07/2019,3
30/07/2019,3
31/07/2019,2
01/08/2019,4
02/08/2019,3
03/08/2019,3
04/08/2019,3
05/08/2019,3
06/08/2019,3
07/08/2019,2
08/08/2019,3
09/08/2019,2
10/08/2019,3
11/08/2019,3
12/08/2019,2
13/08/2019,3
14/08/2019,2
15/08/2019,2
16/08/2019,2
17/08/2019,2
18/08/2019,2
19/08/2019,2
20/08/2019,3
21/08/2019,3
22/08/2019,3
23/08/2019,3
24/08/2019,5
25/08/2019,5
26/08/2019,5
27/08/2019,6
28/08/2019,3
29/08/2019,3
30/08/2019,3
31/08/2019,3
01/09/2019,3
02/09/2019,3
03/09/2019,3
04/09/2019,2
05/09/2019,3
06/09/2019,3
07/09/2019,2
08/09/2019,3
09/09/2019,2
10/09/2019,3
11/09/2019,2
12/09/2019,2
13/09/2019,2
14/09/2019,2
15/09/2019,2
16/09/2019,2
17/09/2019,3
18/09/2019,2
19/09/2019,3
20/09/2019,3
21/09/2019,3
22/09/2019,2
23/09/2019,2
24/09/2019,2
25/09/2019,2
26/09/2019,2
27/09/2019,2
28/09/2019,2
29/09/2019,2
30/09/2019,2
01/10/2019,3
02/10/2019,2
03/10/2019,3
04/10/2019,3
05/10/2019,2
06/10/2019,2
07/10/2019,2
08/10/2019,2
09/10/2019,2
10/10/2019,3
11/10/2019,2
12/10/2019,2
13/10/2019,3
14/10/2019,2
15/10/2019,3
16/10/2019,2
17/10/2019,2
18/10/2019,2
19/10/2019,2
20/10/2019,2
21/10/2019,3
22/10/2019,3
23/10/2019,3
24/10/2019,3
25/10/2019,3
26/10/2019,3
27/10/2019,3
28/10/2019,5
29/10/2019,2
30/10/2019,2
31/10/2019,3
01/11/2019,2
02/11/2019,2
03/11/2019,2
04/11/2019,2
05/11/2019,2
06/11/2019,2
07/11/2019,2
08/11/2019,2
09/11/2019,2
10/11/2019,2
11/11/2019,2
12/11/2019,2
13/11/2019,3
14/11/2019,2
15/11/2019,2
16/11/2019,2
17/11/2019,3
18/11/2019,4
19/11/2019,3
20/11/2019,3
21/11/2019,3
22/11/2019,2
23/11/2019,2
24/11/2019,2
25/11/2019,2
26/11/2019,2
27/11/2019,2
28/11/2019,2
29/11/2019,3
30/11/2019,3
01/12/2019,2
02/12/2019,3
03/12/2019,3
04/12/2019,3
05/12/2019,3
06/12/2019,2
07/12/2019,2
08/12/2019,3
09/12/2019,3
10/12/2019,2
11/12/2019,2
12/12/2019,2
13/12/2019,2
14/12/2019,3
15/12/2019,3
16/12/2019,3
17/12/2019,3
18/12/2019,2
19/12/2019,2
20/12/2019,2
21/12/2019,2
22/12/2019,2
23/12/2019,2
24/12/2019,2
25/12/2019,2
26/12/2019,2
27/12/2019,2
28/12/2019,2
29/12/2019,3
30/12/2019,2
31/12/2019,3
01/01/2020,4
,
End of file ,
