AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
Date,Greater London
01/01/2019,2
02/01/2019,2
03/01/2019,2
04/01/2019,3
05/01/2019,3
06/01/2019,2
07/01/2019,2
08/01/2019,3
09/01/2019,2
10/01/2019,3
11/01/2019,2
12/01/2019,2
13/01/2019,2
14/01/2019,3
15/01/2019,2
16/01/2019,2
17/01/2019,2
18/01/2019,3
19/01/2019,2
20/01/2019,3
21/01/2019,4
22/01/2019,2
23/01/2019,2
24/01/2019,3
25/01/2019,3
26/01/2019,3
27/01/2019,3
28/01/2019,2
29/01/2019,3
30/01/2019,2
31/01/2019,3
01/02/2019,2
02/02/2019,3
03/02/2019,2
04/02/2019,2
05/02/2019,2
06/02/2019,3
07/02/2019,3
08/02/2019,3
09/02/2019,3
10/02/2019,3
11/02/2019,2
12/02/2019,3
13/02/2019,3
14/02/2019,5
15/02/2019,5
16/02/2019,3
17/02/2019,3
18/02/2019,2
19/02/2019,3
20/02/2019,3
21/02/2019,3
22/02/2019,3
23/02/2019,4
24/02/2019,5
25/02/2019,6
26/02/2019,8
27/02/2019,8
28/02/2019,3
01/03/2019,3
02/03/2019,3
03/03/2019,3
04/03/2019,3
05/03/2019,3
06/03/2019,3
07/03/2019,3
08/03/2019,3
09/03/2019,3
10/03/2019,3
11/03/2019,3
12/03/2019,3
13/03/2019,3
14/03/2019,3
15/03/2019,3
16/03/2019,3
17/03/2019,3
18/03/2019,3
19/03/2019,2
20/03/2019,2
21/03/2019,3
22/03/2019,2
23/03/2019,3
24/03/2019,3
25/03/2019,3
26/03/2019,3
27/03/2019,3
28/03/2019,3
29/03/2019,5
30/03/2019,6
31/03/2019,3
01/04/2019,3
02/04/2019,3
03/04/2019,3
04/04/2019,3
05/04/2019,3
06/04/2019,3
07/04/2019,5
08/04/2019,5
09/04/2019,3
10/04/2019,3
11/04/2019,3
12/04/2019,3
13/04/2019,3
14/04/2019,3
15/04/2019,4
16/04/2019,6
17/04/2019,6
18/04/2019,6
19/04/2019,5
20/04/2019,5
21/04/2019,6
22/04/2019,8
23/04/2019,5
24/04/2019,3
25/04/2019,3
26/04/2019,3
27/04/2019,3
28/04/2019,3
29/04/2019,3
30/04/2019,3
01/05/2019,3
02/05/2019,3
03/05/2019,3
04/05/2019,3
05/05/2019,3
06/05/2019,3
07/05/2019,3
08/05/2019,3
09/05/2019,2
10/05/2019,3
11/05/2019,3
12/05/2019,3
13/05/2019,3
14/05/2019,3
15/05/2019,4
16/05/2019,4
17/05/2019,3
18/05/2019,3
19/05/2019,3
20/05/2019,3
21/05/2019,3
22/05/2019,4
23/05/2019,4
24/05/2019,3
25/05/2019,3
26/05/2019,2
27/05/2019,3
28/05/2019,3
29/05/2019,3
30/05/2019,3
31/05/2019,2
01/06/2019,3
02/06/2019,3
03/06/2019,3
04/06/2019,3
05/06/2019,3
06/06/2019,3
07/06/2019,3
08/06/2019,3
09/06/2019,3
