AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
29/05/2013,3
30/05/2013,3
31/05/2013,5
01/06/2013,3
02/06/2013,3
03/06/2013,3
04/06/2013,3
05/06/2013,3
06/06/2013,3
07/06/2013,3
08/06/2013,3
09/06/2013,2
10/06/2013,3
11/06/2013,3
12/06/2013,3
13/06/2013,3
14/06/2013,3
15/06/2013,3
16/06/2013,3
17/06/2013,3
18/06/2013,4
19/06/2013,3
20/06/2013,6
21/06/2013,4
22/06/2013,2
23/06/2013,2
24/06/2013,2
25/06/2013,4
26/06/2013,3
27/06/2013,3
28/06/2013,3
29/06/2013,3
30/06/2013,2
01/07/2013,3
02/07/2013,3
03/07/2013,2
04/07/2013,4
05/07/2013,4
06/07/2013,5
07/07/2013,5
08/07/2013,4
09/07/2013,3
10/07/2013,3
11/07/2013,3
12/07/2013,4
13/07/2013,4
14/07/2013,4
15/07/2013,4
16/07/2013,7
17/07/2013,7
18/07/2013,5
19/07/2013,3
20/07/2013,2
21/07/2013,5
22/07/2013,6
23/07/2013,4
24/07/2013,4
25/07/2013,4
26/07/2013,4
27/07/2013,3
28/07/2013,3
29/07/2013,3
30/07/2013,3
31/07/2013,3
01/08/2013,4
02/08/2013,3
03/08/2013,3
04/08/2013,3
05/08/2013,3
06/08/2013,3
07/08/2013,3
08/08/2013,4
09/08/2013,3
10/08/2013,3
11/08/2013,3
12/08/2013,3
13/08/2013,2
14/08/2013,4
15/08/2013,3
16/08/2013,3
17/08/2013,2
18/08/2013,2
19/08/2013,3
20/08/2013,3
21/08/2013,4
22/08/2013,3
23/08/2013,6
24/08/2013,5
25/08/2013,4
26/08/2013,4
27/08/2013,3
28/08/2013,3
29/08/2013,3
30/08/2013,3
31/08/2013,3
01/09/2013,3
02/09/2013,2
03/09/2013,3
04/09/2013,4
05/09/2013,5
06/09/2013,3
07/09/2013,3
08/09/2013,2
09/09/2013,4
10/09/2013,3
11/09/2013,3
12/09/2013,3
13/09/2013,3
14/09/2013,3
15/09/2013,2
16/09/2013,3
17/09/2013,4
18/09/2013,3
19/09/2013,4
20/09/2013,3
21/09/2013,3
22/09/2013,2
23/09/2013,4
24/09/2013,5
25/09/2013,9
26/09/2013,3
27/09/2013,3
28/09/2013,3
29/09/2013,2
30/09/2013,3
01/10/2013,4
02/10/2013,3
03/10/2013,3
04/10/2013,3
05/10/2013,2
06/10/2013,3
07/10/2013,3
08/10/2013,3
09/10/2013,3
10/10/2013,3
11/10/2013,3
12/10/2013,3
13/10/2013,2
14/10/2013,3
15/10/2013,3
16/10/2013,4
17/10/2013,4
18/10/2013,3
19/10/2013,3
20/10/2013,3
21/10/2013,3
22/10/2013,3
23/10/2013,3
24/10/2013,3
25/10/2013,3
26/10/2013,3
27/10/2013,3
28/10/2013,3
29/10/2013,3
30/10/2013,3
31/10/2013,3
01/11/2013,3
02/11/2013,3
03/11/2013,3
04/11/2013,3
05/11/2013,4
06/11/2013,3
07/11/2013,3
08/11/2013,4
09/11/2013,3
10/11/2013,3
11/11/2013,3
12/11/2013,4
13/11/2013,3
14/11/2013,3
15/11/2013,4
16/11/2013,3
17/11/2013,3
18/11/2013,3
19/11/2013,3
20/11/2013,3
21/11/2013,4
22/11/2013,4
23/11/2013,3
24/11/2013,2
25/11/2013,5
26/11/2013,4
27/11/2013,4
28/11/2013,4
29/11/2013,3
30/11/2013,3
01/12/2013,3
02/12/2013,3
03/12/2013,3
04/12/2013,3
05/12/2013,3
06/12/2013,3
07/12/2013,3
08/12/2013,3
09/12/2013,4
10/12/2013,5
11/12/2013,7
12/12/2013,9
13/12/2013,4
14/12/2013,3
15/12/2013,2
16/12/2013,3
17/12/2013,3
18/12/2013,3
19/12/2013,4
20/12/2013,3
21/12/2013,3
22/12/2013,3
23/12/2013,3
24/12/2013,3
25/12/2013,2
26/12/2013,3
27/12/2013,3
28/12/2013,3
29/12/2013,2
30/12/2013,3
31/12/2013,3
01/01/2014,3
,
End of file ,
