AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
Date,Greater London
01/01/2013,3
02/01/2013,3
03/01/2013,2
04/01/2013,3
05/01/2013,2
06/01/2013,2
07/01/2013,3
08/01/2013,3
09/01/2013,4
10/01/2013,4
11/01/2013,3
12/01/2013,3
13/01/2013,3
14/01/2013,3
15/01/2013,3
16/01/2013,4
17/01/2013,6
18/01/2013,4
19/01/2013,3
20/01/2013,3
21/01/2013,3
22/01/2013,4
23/01/2013,4
24/01/2013,3
25/01/2013,4
26/01/2013,3
27/01/2013,3
28/01/2013,3
29/01/2013,3
30/01/2013,3
31/01/2013,3
01/02/2013,3
02/02/2013,3
03/02/2013,3
04/02/2013,3
05/02/2013,3
06/02/2013,3
07/02/2013,2
08/02/2013,4
09/02/2013,3
10/02/2013,2
11/02/2013,3
12/02/2013,5
13/02/2013,6
14/02/2013,3
15/02/2013,3
16/02/2013,3
17/02/2013,5
18/02/2013,6
19/02/2013,6
20/02/2013,3
21/02/2013,3
22/02/2013,3
23/02/2013,3
24/02/2013,3
25/02/2013,3
26/02/2013,5
27/02/2013,3
28/02/2013,3
01/03/2013,3
02/03/2013,3
03/03/2013,3
04/03/2013,5
05/03/2013,6
06/03/2013,8
07/03/2013,8
08/03/2013,5
09/03/2013,6
10/03/2013,3
11/03/2013,3
12/03/2013,4
13/03/2013,4
14/03/2013,3
15/03/2013,4
16/03/2013,3
17/03/2013,3
18/03/2013,6
19/03/2013,3
20/03/2013,5
21/03/2013,3
22/03/2013,5
23/03/2013,3
24/03/2013,3
25/03/2013,3
26/03/2013,3
27/03/2013,4
28/03/2013,4
29/03/2013,4
30/03/2013,3
31/03/2013,4
01/04/2013,4
02/04/2013,4
03/04/2013,3
04/04/2013,3
05/04/2013,3
06/04/2013,4
07/04/2013,4
08/04/2013,4
09/04/2013,4
10/04/2013,7
11/04/2013,3
12/04/2013,3
13/04/2013,3
14/04/2013,3
15/04/2013,3
16/04/2013,3
17/04/2013,3
18/04/2013,3
19/04/2013,3
20/04/2013,3
21/04/2013,3
22/04/2013,3
23/04/2013,3
24/04/2013,3
25/04/2013,4
26/04/2013,3
27/04/2013,3
28/04/2013,3
29/04/2013,3
30/04/2013,3
01/05/2013,3
02/05/2013,3
03/05/2013,3
04/05/2013,3
05/05/2013,3
06/05/2013,4
07/05/2013,3
08/05/2013,4
09/05/2013,3
10/05/2013,3
11/05/2013,3
12/05/2013,3
13/05/2013,3
14/05/2013,3
15/05/2013,3
16/05/2013,3
17/05/2013,4
18/05/2013,3
19/05/2013,3
20/05/2013,4
21/05/2013,3
22/05/2013,3
23/05/2013,3
24/05/2013,3
25/05/2013,3
26/05/2013,4
27/05/2013,4
28/05/2013,4
